timestamp_utc,level,category,class_method,event,args,ret,details,raw
2025-10-13T08:24:53.056496Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056499Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056505Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056510Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056513Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056516Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056521Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056526Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056528Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056531Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056536Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056542Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056546Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
